model_name,task_name,shot_type,"acc,none"
google/gemma-3-1b-it,analogies_high,few-shot,0.41875
google/gemma-3-1b-it,analogies_high,zero-shot,0.3772916666666667
google/gemma-3-1b-it,analogies_low,few-shot,0.322
google/gemma-3-1b-it,analogies_low,zero-shot,0.3045
google/gemma-3-1b-it,analogies_medium,few-shot,0.3596666666666667
google/gemma-3-1b-it,analogies_medium,zero-shot,0.3356666666666666
google/gemma-3-1b-it,analogies_mono,few-shot,0.5518181818181818
google/gemma-3-1b-it,analogies_mono,zero-shot,0.4027272727272727
google/gemma-3-1b-it,gloss_all,few-shot,0.4933333333333333
google/gemma-3-1b-it,gloss_all,zero-shot,0.4133333333333333
google/gemma-3-1b-it,gloss_high,few-shot,0.6191077441077442
google/gemma-3-1b-it,gloss_high,zero-shot,0.4659090909090909
google/gemma-3-1b-it,gloss_low,few-shot,0.3555555555555555
google/gemma-3-1b-it,gloss_low,zero-shot,0.3424242424242424
google/gemma-3-1b-it,gloss_medium,few-shot,0.4959595959595959
google/gemma-3-1b-it,gloss_medium,zero-shot,0.4
google/gemma-3-1b-it,gloss_mono,few-shot,0.9207650273224044
google/gemma-3-1b-it,gloss_mono,zero-shot,0.4717668488160291
google/gemma-3-1b-it,hypernymy_all,few-shot,0.4358765129878961
google/gemma-3-1b-it,hypernymy_all,zero-shot,0.4017407860737114
google/gemma-3-1b-it,hypernymy_high,few-shot,0.5225
google/gemma-3-1b-it,hypernymy_high,zero-shot,0.4364583333333333
google/gemma-3-1b-it,hypernymy_low,few-shot,0.396
google/gemma-3-1b-it,hypernymy_low,zero-shot,0.3665
google/gemma-3-1b-it,hypernymy_medium,few-shot,0.4826666666666667
google/gemma-3-1b-it,hypernymy_medium,zero-shot,0.4163333333333333
google/gemma-3-1b-it,hypernymy_mono,few-shot,0.6734130634774609
google/gemma-3-1b-it,hypernymy_mono,zero-shot,0.5050597976080957
google/gemma-3-1b-it,meronymy_all,few-shot,0.3526451788385693
google/gemma-3-1b-it,meronymy_all,zero-shot,0.3204678362573099
google/gemma-3-1b-it,meronymy_high,few-shot,0.4225
google/gemma-3-1b-it,meronymy_high,zero-shot,0.339375
google/gemma-3-1b-it,meronymy_low,few-shot,0.3615
google/gemma-3-1b-it,meronymy_low,zero-shot,0.3005
google/gemma-3-1b-it,meronymy_medium,few-shot,0.3596666666666667
google/gemma-3-1b-it,meronymy_medium,zero-shot,0.3356666666666666
google/gemma-3-1b-it,meronymy_mono,few-shot,0.5952161913523459
google/gemma-3-1b-it,meronymy_mono,zero-shot,0.4645814167433302
google/gemma-7b-it,analogies_all,few-shot,0.3755745954032368
google/gemma-7b-it,analogies_all,zero-shot,0.3556643546851625
google/gemma-7b-it,analogies_high,few-shot,0.364375
google/gemma-7b-it,analogies_high,zero-shot,0.3547916666666666
google/gemma-7b-it,analogies_low,few-shot,0.3115
google/gemma-7b-it,analogies_low,zero-shot,0.3175
google/gemma-7b-it,analogies_medium,few-shot,0.331
google/gemma-7b-it,analogies_medium,zero-shot,0.3286666666666666
google/gemma-7b-it,analogies_mono,few-shot,0.5927272727272728
google/gemma-7b-it,analogies_mono,zero-shot,0.5390909090909091
google/gemma-7b-it,gloss_all,few-shot,0.652
google/gemma-7b-it,gloss_all,zero-shot,0.5586666666666666
google/gemma-7b-it,gloss_high,few-shot,0.7489478114478114
google/gemma-7b-it,gloss_high,zero-shot,0.647516835016835
google/gemma-7b-it,gloss_low,few-shot,0.5191919191919192
google/gemma-7b-it,gloss_low,zero-shot,0.4676767676767677
google/gemma-7b-it,gloss_medium,few-shot,0.6616161616161617
google/gemma-7b-it,gloss_medium,zero-shot,0.5579124579124579
google/gemma-7b-it,gloss_mono,few-shot,0.965391621129326
google/gemma-7b-it,gloss_mono,zero-shot,0.7896174863387978
google/gemma-7b-it,hypernymy_all,few-shot,0.4855977152182782
google/gemma-7b-it,hypernymy_all,zero-shot,0.3944784441724466
google/gemma-7b-it,hypernymy_high,few-shot,0.5591666666666667
google/gemma-7b-it,hypernymy_high,zero-shot,0.4125
google/gemma-7b-it,hypernymy_low,few-shot,0.472
google/gemma-7b-it,hypernymy_low,zero-shot,0.3775
google/gemma-7b-it,hypernymy_medium,few-shot,0.5396666666666666
google/gemma-7b-it,hypernymy_medium,zero-shot,0.411
google/gemma-7b-it,hypernymy_mono,few-shot,0.7580496780128795
google/gemma-7b-it,hypernymy_mono,zero-shot,0.6053357865685373
google/gemma-7b-it,meronymy_all,few-shot,0.3605331157350741
google/gemma-7b-it,meronymy_all,zero-shot,0.3108119135046919
google/gemma-7b-it,meronymy_high,few-shot,0.4279166666666666
google/gemma-7b-it,meronymy_high,zero-shot,0.3375
google/gemma-7b-it,meronymy_low,few-shot,0.382
google/gemma-7b-it,meronymy_low,zero-shot,0.3055
google/gemma-7b-it,meronymy_medium,few-shot,0.331
google/gemma-7b-it,meronymy_medium,zero-shot,0.3286666666666666
google/gemma-7b-it,meronymy_mono,few-shot,0.6347746090156394
google/gemma-7b-it,meronymy_mono,zero-shot,0.5482980680772769
meta-llama/Llama-3.1-8B-Instruct,analogies_all,few-shot,0.5285733714130287
meta-llama/Llama-3.1-8B-Instruct,analogies_all,zero-shot,0.4602203182374541
meta-llama/Llama-3.1-8B-Instruct,analogies_high,few-shot,0.5283333333333333
meta-llama/Llama-3.1-8B-Instruct,analogies_high,zero-shot,0.475
meta-llama/Llama-3.1-8B-Instruct,analogies_low,few-shot,0.435
meta-llama/Llama-3.1-8B-Instruct,analogies_low,zero-shot,0.4005
meta-llama/Llama-3.1-8B-Instruct,analogies_medium,few-shot,0.4796666666666667
meta-llama/Llama-3.1-8B-Instruct,analogies_medium,zero-shot,0.43
meta-llama/Llama-3.1-8B-Instruct,analogies_mono,few-shot,0.7509090909090909
meta-llama/Llama-3.1-8B-Instruct,analogies_mono,zero-shot,0.6418181818181818
meta-llama/Llama-3.1-8B-Instruct,gloss_all,few-shot,0.7693333333333333
meta-llama/Llama-3.1-8B-Instruct,gloss_all,zero-shot,0.6226666666666667
meta-llama/Llama-3.1-8B-Instruct,gloss_high,few-shot,0.8541666666666666
meta-llama/Llama-3.1-8B-Instruct,gloss_high,zero-shot,0.7236952861952862
meta-llama/Llama-3.1-8B-Instruct,gloss_low,few-shot,0.6767676767676768
meta-llama/Llama-3.1-8B-Instruct,gloss_low,zero-shot,0.5565656565656566
meta-llama/Llama-3.1-8B-Instruct,gloss_medium,few-shot,0.7777777777777778
meta-llama/Llama-3.1-8B-Instruct,gloss_medium,zero-shot,0.6249158249158249
meta-llama/Llama-3.1-8B-Instruct,gloss_mono,few-shot,0.98816029143898
meta-llama/Llama-3.1-8B-Instruct,gloss_mono,zero-shot,0.8242258652094717
meta-llama/Llama-3.1-8B-Instruct,hypernymy_all,few-shot,0.5964096287229702
meta-llama/Llama-3.1-8B-Instruct,hypernymy_all,zero-shot,0.451516387868897
meta-llama/Llama-3.1-8B-Instruct,hypernymy_high,few-shot,0.638125
meta-llama/Llama-3.1-8B-Instruct,hypernymy_high,zero-shot,0.4760416666666666
meta-llama/Llama-3.1-8B-Instruct,hypernymy_low,few-shot,0.5705
meta-llama/Llama-3.1-8B-Instruct,hypernymy_low,zero-shot,0.4815
meta-llama/Llama-3.1-8B-Instruct,hypernymy_medium,few-shot,0.619
meta-llama/Llama-3.1-8B-Instruct,hypernymy_medium,zero-shot,0.4816666666666667
meta-llama/Llama-3.1-8B-Instruct,hypernymy_mono,few-shot,0.7598896044158233
meta-llama/Llama-3.1-8B-Instruct,hypernymy_mono,zero-shot,0.4912603495860165
meta-llama/Llama-3.1-8B-Instruct,meronymy_all,few-shot,0.4608459132326941
meta-llama/Llama-3.1-8B-Instruct,meronymy_all,zero-shot,0.3410580715354277
meta-llama/Llama-3.1-8B-Instruct,meronymy_high,few-shot,0.5295833333333333
meta-llama/Llama-3.1-8B-Instruct,meronymy_high,zero-shot,0.3758333333333333
meta-llama/Llama-3.1-8B-Instruct,meronymy_low,few-shot,0.4555
meta-llama/Llama-3.1-8B-Instruct,meronymy_low,zero-shot,0.3525
meta-llama/Llama-3.1-8B-Instruct,meronymy_medium,few-shot,0.4796666666666667
meta-llama/Llama-3.1-8B-Instruct,meronymy_medium,zero-shot,0.43
meta-llama/Llama-3.1-8B-Instruct,meronymy_mono,few-shot,0.7414903403863845
meta-llama/Llama-3.1-8B-Instruct,meronymy_mono,zero-shot,0.499540018399264
mistralai/Mistral-7B-Instruct-v0.3,analogies_all,few-shot,0.4762681898544811
mistralai/Mistral-7B-Instruct-v0.3,analogies_all,zero-shot,0.425078199374405
mistralai/Mistral-7B-Instruct-v0.3,analogies_high,few-shot,0.51125
mistralai/Mistral-7B-Instruct-v0.3,analogies_high,zero-shot,0.4395833333333333
mistralai/Mistral-7B-Instruct-v0.3,analogies_low,few-shot,0.38
mistralai/Mistral-7B-Instruct-v0.3,analogies_low,zero-shot,0.3495
mistralai/Mistral-7B-Instruct-v0.3,analogies_medium,few-shot,0.4273333333333333
mistralai/Mistral-7B-Instruct-v0.3,analogies_medium,zero-shot,0.3906666666666666
mistralai/Mistral-7B-Instruct-v0.3,analogies_mono,few-shot,0.73
mistralai/Mistral-7B-Instruct-v0.3,analogies_mono,zero-shot,0.6172727272727273
mistralai/Mistral-7B-Instruct-v0.3,gloss_all,few-shot,0.6786666666666666
mistralai/Mistral-7B-Instruct-v0.3,gloss_all,zero-shot,0.5893333333333334
mistralai/Mistral-7B-Instruct-v0.3,gloss_high,few-shot,0.8129208754208754
mistralai/Mistral-7B-Instruct-v0.3,gloss_high,zero-shot,0.7283249158249159
mistralai/Mistral-7B-Instruct-v0.3,gloss_low,few-shot,0.5505050505050505
mistralai/Mistral-7B-Instruct-v0.3,gloss_low,zero-shot,0.4873737373737373
mistralai/Mistral-7B-Instruct-v0.3,gloss_medium,few-shot,0.6407407407407407
mistralai/Mistral-7B-Instruct-v0.3,gloss_medium,zero-shot,0.5457912457912458
mistralai/Mistral-7B-Instruct-v0.3,gloss_mono,few-shot,0.9899817850637522
mistralai/Mistral-7B-Instruct-v0.3,gloss_mono,zero-shot,0.9553734061930784
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_all,few-shot,0.5370325037399701
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_all,zero-shot,0.4527403780769753
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_high,few-shot,0.6058333333333333
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_high,zero-shot,0.4883333333333333
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_low,few-shot,0.4885
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_low,zero-shot,0.425
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_medium,few-shot,0.5476666666666666
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_medium,zero-shot,0.4533333333333333
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_mono,few-shot,0.7608095676172953
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_mono,zero-shot,0.5114995400183993
mistralai/Mistral-7B-Instruct-v0.3,meronymy_all,few-shot,0.4199918400652794
mistralai/Mistral-7B-Instruct-v0.3,meronymy_all,zero-shot,0.3511763905888753
mistralai/Mistral-7B-Instruct-v0.3,meronymy_high,few-shot,0.50625
mistralai/Mistral-7B-Instruct-v0.3,meronymy_high,zero-shot,0.405625
mistralai/Mistral-7B-Instruct-v0.3,meronymy_low,few-shot,0.44
mistralai/Mistral-7B-Instruct-v0.3,meronymy_low,zero-shot,0.3455
mistralai/Mistral-7B-Instruct-v0.3,meronymy_medium,few-shot,0.4273333333333333
mistralai/Mistral-7B-Instruct-v0.3,meronymy_medium,zero-shot,0.3906666666666666
mistralai/Mistral-7B-Instruct-v0.3,meronymy_mono,few-shot,0.7562097516099356
mistralai/Mistral-7B-Instruct-v0.3,meronymy_mono,zero-shot,0.5584176632934683
