bn:00015267n	dog
bn:00003177n	alveolar_arch
bn:06751000n	cut_of_beef
bn:00027574n	dish
bn:03877095n	recipe
bn:00053080n	mammal_family
bn:00016142n	Carnivora
bn:00015264n	Canis
bn:02031061n	Canid_hybrid
bn:22269599n	Canis_lupus
bn:00005473n	white_wolf
bn:00003011n	Alopex
bn:00024408n	Cuon
bn:00029187n	Dusicyon
bn:00002175n	Ailuropodidae
bn:00004683n	Antilocapridae
bn:00004920n	Aplodontiidae
bn:00008034n	Balaenidae
bn:00008040n	Balaenopteridae
bn:00040778n	glutton
bn:00059723n	otter
bn:01313549n	Spotted_linsang
bn:00010555n	biome
bn:00056967n	native
bn:00011513n	blue_fox
bn:00066667n	red_fox
bn:00010550n	biota
bn:17345320n	state
bn:00214281n	fauna_of_Angola
bn:00214704n	Biodiversity_of_Ghana
bn:00251613n	Microfauna
bn:00274728n	Fauna_of_Europe
bn:00318907n	Fauna_of_the_Andes
bn:00035324n	plant
bn:00915246n	aeroplankton
bn:01216797n	Microbiota
bn:03660311n	Soil_life
bn:06999626n	lichenoflora
bn:01588907n	Street_dog
bn:03833174n	endemism
bn:14323173n	Cerdocyon
bn:00038881n	Nyctereutes
bn:00019394n	cladistics
bn:00078713n	tusker
bn:01763580n	Consumer_(food_chain)
bn:27268776n	diet_(nutrition)
bn:00046874n	insectivore
bn:00526607n	Ophiophagy
bn:00980211n	entomophagy
bn:02436727n	hematophagy
bn:00043796n	herbivore
bn:00058952n	omnivore
bn:03517226n	Bacterivore
bn:21492829n	Microbivory
bn:00015852n	carbohydrate_loading
bn:00013783n	bull
bn:00163532n	Chinese_pangolin
bn:01313607n	Indian_pangolin
bn:01864212n	Sunda_pangolin
bn:01868806n	ground_pangolin
bn:02454890n	Eomanis
bn:02502189n	aquatic_animal
bn:00011456n	cetacean
bn:00062520n	pinniped_mammal
bn:00069962n	sea_cow
bn:03432367n	marine_mammal
bn:00035253n	flipper
bn:00016145n	carnivorous_bat
bn:00036690n	fruit_bat
bn:00081336n	wing
bn:00073813n	stag
bn:00009799n	belly
bn:00018207n	thorax
bn:00023011n	rib
bn:00024979n	digit
bn:00057390n	neural_tube
bn:00003881n	anatomy
bn:01748993n	Insect_morphology
bn:03361881n	Bird_anatomy
bn:05739903n	anatomy_of_amphibians
bn:05757858n	vertebrate_anatomy
bn:00005102n	clinical_anatomy
bn:00021300n	comparative_anatomy
bn:00026704n	developmental_anatomy
bn:00036828n	functional_anatomy
bn:00041869n	gross_anatomy
bn:00034016n	female
bn:00029067n	dug
bn:00053078n	mammary_gland
bn:00025077n	dam
bn:00034470n	filly
bn:00043686n	hen
bn:01536775n	Drakaina_(mythology)
bn:10501262n	ewe
bn:00025089n	Damaraland_mole_rat
bn:00056746n	naked_mole_rat
bn:00053563n	marsupial
bn:01673856n	Deltatheridium
bn:03366640n	Borhyaena
bn:00029916n	monotreme
bn:00042526n	hair
bn:00020726n	color
bn:00065538n	quality
bn:00035167n	wool
bn:00036883n	fur
bn:03364262n	Equine_coat_color
bn:03403132n	Cat_coat_genetics
bn:03636902n	piebald
bn:00009364n	beard
bn:00011761n	body_hair
bn:00013390n	eyebrow
bn:00014101n	pubic_hair
bn:00019101n	eyelash
bn:00034417n	filament
bn:00046753n	ingrown_hair
bn:00003834n	anapsid
bn:02970504n	Sauropsida
bn:03283875n	Protoclepsydrops
bn:00034187n	fetus
bn:00003572n	amnion
bn:00018766n	chorion
bn:00076708n	tetrapod
bn:00011272n	caecilian
bn:00016835n	urodele
bn:00045467n	Hynerpeton_bassetti
bn:00045767n	Ichyostega
bn:00050137n	lateral_line
bn:00002049n	jawless_vertebrate
bn:00034816n	fish
bn:00062736n	placoderm
bn:00004941n	apodiform_bird
bn:00005216n	aquatic_bird
bn:00005392n	archaeopteryx
bn:00005393n	archaeornis
bn:00010638n	bird_of_passage
bn:00002255n	air_sac
bn:00009305n	beak
bn:00010606n	bird
bn:00024049n	hindquarters
bn:00061231n	vertebrate_foot
bn:00035679n	foot
bn:00005033n	extremity
bn:00005702n	arm
bn:00024138n	crus
bn:00024277n	cubitus
bn:00035801n	forearm
bn:00032500n	extremity
bn:00074812n	stump
bn:00018072n	claw
bn:00018076n	chelicera
bn:00033630n	fang
bn:00034509n	fin
bn:03119967n	Human_leg
bn:00042769n	hand
bn:00003879n	structure
bn:00003179n	alveolar_bed
bn:00004937n	apodeme
bn:00006582n	aster
bn:00008129n	ball
bn:00011083n	blade
bn:00019619n	claw
bn:00043920n	heterodactyl_foot
bn:00051710n	lobate_foot
bn:00080780n	webbed_foot
bn:00082109n	zygodactyl_foot
bn:00075989n	talon
bn:00024643n	skin
bn:00020027n	cloven_foot
bn:00044820n	horse's_foot
bn:03341678n	Horse_hoof
bn:00044686n	hoof
bn:00077467n	toe
bn:00019144n	cinnamon_bear
bn:02942802n	Winnipeg_(bear)
bn:16359201n	Terrible_Ted_(bear)
bn:17521782n	Bruno_(bear_actor)
bn:00045719n	ice_bear
bn:24965748n	Bobo
bn:00024245n	cub
bn:00002428n	Alaskan_brown_bear
bn:00041833n	grizzly
bn:00075754n	Syrian_bear
bn:00806063n	Cantabrian_brown_bear
bn:03345388n	Bear_JJ1
bn:00032903n	Felidae
bn:00000926n	cheetah
bn:00033987n	jaguar
bn:00049156n	lion
bn:00050713n	leopard
bn:00051107n	liger
bn:00009222n	bobcat
bn:00015118n	Canada_lynx
bn:00015810n	caracal
bn:00021122n	common_lynx
bn:00052462n	spotted_lynx
bn:00014571n	kaffir_cat
bn:00016668n	cougar
bn:00032563n	jaguarundi
bn:00033984n	leopard_cat
bn:00010543n	biology
bn:13834499n	traditional_taxonomy
bn:00578552n	Capreolinae
bn:02230356n	Pantherinae
bn:03194186n	buzzard
bn:00049171n	kingdom
bn:00003352n	American_badger
bn:00005485n	hog_badger
bn:00031882n	Eurasian_badger
bn:00034118n	ferret_badger
bn:00034895n	polecat
bn:00228644n	Bai_Yun
bn:00282295n	Xiang_Xiang_(giant_panda)
bn:00381193n	Gao_Gao
bn:00381382n	Mei_Sheng
bn:00652585n	Zhen_Zhen_(panda)
bn:00065797n	raccoon
bn:02183082n	Pemba_(panda)
bn:03079844n	Futa_(red_panda)
bn:00032439n	external_body_part
bn:03088203n	Mereology
bn:00045155n	human_head
bn:02375276n	cephalon_(arthropod_head)
bn:03940221n	insect_head
bn:04000163n	Scolex
bn:00005984n	basilar_artery
bn:00012679n	brain
bn:00029372n	ear
bn:00032600n	face
bn:00056555n	muzzle
bn:00006078n	arthromere
bn:00012950n	breast
bn:00012952n	breast
bn:00017395n	neck
bn:00001386n	adipose_tissue
bn:00015493n	capillary_bed
bn:00016317n	cartilage
bn:00017529n	chalaza
bn:00021916n	connective_tissue
bn:00008286n	isthmus
bn:00012010n	marrow
bn:00019056n	scar
bn:00031254n	epithelium
bn:00032060n	evolution
bn:00654946n	Domestic_short-haired_cat
bn:00029958n	Egyptian_cat
bn:00065800n	race
bn:00012995n	reproduction
bn:15776411n	Asian
bn:00061934n	phenotype
bn:01001816n	Tama_(cat)
bn:00081952n	young_mammal
bn:05738937n	baby_animal
bn:00007648n	baby
bn:00013828n	bullock
bn:00014717n	calf
bn:00014720n	calf
bn:00063021n	pleurodont
bn:00769774n	Hypsodont
bn:02613022n	diphyodont
bn:03369376n	heterodont
bn:02352353n	Multicellular_organism
bn:00011162n	blastula
bn:00037482n	gastrula
bn:00055959n	morula
bn:00011149n	blastocyst
bn:00078915n	umbilical_cord
bn:00050542n	leg
bn:00015307n	cannon
bn:00064142n	prehensor
bn:01107424n	subphylum
bn:00003643n	lancelet
bn:03680075n	Cathaymyrus
bn:00075290n	superphylum
bn:00005042n	appendicularia
bn:00006267n	ascidian
bn:00028110n	doliolum
bn:00050049n	larvacean
bn:00068984n	salp
bn:00079109n	whole
bn:00936440n	Cultural_artifact
bn:16490764n	archaeological_find
bn:00368157n	Conflation
bn:00056993n	natural_object
bn:00002008n	sum
bn:00006488n	assembly
bn:00021806n	congener
bn:00047731n	item
bn:05506750n	transportable_goods
bn:00016047n	cargo
bn:01732044n	Bed_material_load
bn:00688958n	Dangerous_goods
bn:00981349n	Break_bulk_cargo
bn:15979186n	mail_item
bn:05374057n	bale
bn:17528560n	Class_(knowledge_representation)
bn:00012758n	trade_name
bn:00035918n	part_of_speech
bn:00077750n	tournament
bn:00142051n	National_Register_of_Historic_Places_property_type
bn:05067876n	Physical_object
bn:00003687n	amulet
bn:00007999n	bait
bn:00015922n	card_index
bn:00044635n	honeycomb
bn:00010866n	black_body
bn:00024215n	crystal_ball
bn:00036026n	fossil
bn:00042931n	hard_copy
bn:00033621n	fancy_goods
bn:00054416n	merchandise
bn:05144238n	real_good
bn:02471984n	Right_to_property
bn:00006125n	clothing
bn:00022097n	durables
bn:00033732n	fashion
bn:00035671n	grocery
bn:01607774n	Household_chemicals
bn:00042401n	haberdashery
bn:00045037n	white_goods
bn:00001296n	summation
bn:01731490n	Mode_of_transport
bn:01939592n	Export_of_cryptography
bn:24155248n	Exports_of_weapons_by_France
bn:00046137n	import
bn:00011308n	block
bn:00004731n	antique
bn:00067033n	relic
bn:00068178n	Roman_building
bn:00074161n	stele
bn:00012916n	breakable
bn:00049321n	knickknack
bn:00058176n	notion
bn:00080482n	ware
bn:00006126n	article_of_commerce
bn:00007798n	backing
bn:00011121n	blanket
bn:00023290n	course
bn:00024565n	cushion
bn:00047110n	interlayer
bn:00011954n	bombycid
bn:00016739n	caterpillar
bn:16993284n	sericulture
bn:26691337n	small_livestock
bn:17294830n	cattle
bn:24226563n	Zero-grazing
bn:17145805n	Balai_Penelitian_Ternak
bn:14519283n	productive_animal
bn:00009391n	beast_of_burden
bn:00028554n	draft_animal
bn:00081602n	working_dog
bn:01496397n	Working_rat
bn:01309617n	assistance_dog
bn:03248394n	Guide_horse
bn:16677724n	helper_monkey
bn:16737563n	Packhorse
bn:00919180n	Caucasian_wildcat
bn:15378421n	Asiatic_wildcat
bn:16078528n	Cretan_wildcat
bn:17055786n	Felis_silvestris_cafra
bn:00053290n	Manx
bn:00061705n	Persian_cat
bn:16479435n	Infraspecific_name
bn:14329978n	Eastern_coyote
bn:14449749n	Najas_marina_subsp._intermedia
bn:14486628n	Balkan_lynx
bn:17246913n	Eurasian_wolf
bn:00042729n	village
bn:00017634n	Chancellorsville
bn:00018022n	Cheddar
bn:00030022n	El_Alamein
bn:00047954n	Jamestown
bn:00048129n	Jericho
bn:00407538n	Oscar_(therapy_cat)
bn:00081546n	word
bn:00051395n	linguistics
bn:02274263n	Naming_convention
bn:02702270n	Documentation_science
bn:00053492n	markup_language
bn:00077641n	toponymy
bn:00185048n	Computer_network_naming_scheme
bn:00186409n	Phylogenetic_nomenclature
bn:00003766n	anagram
bn:00003823n	anaphor
bn:00004785n	antonym
bn:00007737n	back-formation
bn:00016720n	guide_word
bn:00000492n	abstraction
bn:00003603n	measure
bn:00007068n	attribute
bn:00021222n	communication
bn:00059702n	otherworld
bn:00065023n	psychological_feature
bn:07018062n	group_of_interconnected_lakes
bn:00004553n	anthology
bn:15125301n	System
bn:00049722n	Lake_Michigan
bn:00049726n	Lake_Ontario
bn:00049732n	Lake_Superior
bn:00031409n	Lake_Erie
bn:00045281n	Lake_Huron
bn:00021494n	computer_science
bn:00058448n	object-oriented_programming
bn:00052687n	Wise_Men
bn:00056713n	Nag_Hammadi
bn:00001992n	pile
bn:00001993n	agglomeration
bn:00002250n	aviation
bn:00018105n	chemical_element
bn:01262891n	period_7
bn:16862705n	chemical_series
bn:00006825n	fermium
bn:00001721n	estivation
bn:00005869n	array
bn:00016731n	classification
bn:00022280n	lash-up
bn:00035325n	flower_arrangement
bn:00010584n	community
bn:00004627n	antibiosis
bn:26691109n	vegetation_unit
bn:18162453n	Ornithopodo-Corynephoretum
bn:00004579n	anthropoid
bn:00004847n	ape
bn:00044571n	hominid
bn:00044572n	hominoid
bn:00050654n	lemur
bn:00450810n	biovar
bn:06758658n	vaccine_strain
bn:14016080n	viral_strain
bn:18457727n	fagovar
bn:16390090n	Validly_published_name
bn:00049924n	language_unit
bn:00071525n	signal
bn:00002054n	agnomen
bn:00002713n	alias
bn:00004414n	pseudonym
bn:00005032n	appellation
bn:00006557n	assumed_name
bn:00020677n	collocation
bn:00027521n	discourse
bn:00035946n	formative
bn:00050895n	lexeme
bn:00055918n	morpheme
bn:01413740n	pathovar
bn:15062416n	infrageneric_rank
bn:14303573n	rank
bn:00068856n	saint
bn:02276201n	Jefe_Supremo
bn:03100104n	Police_rank
bn:03437272n	Imperial,_royal_and_noble_ranks
bn:05774653n	ecclesiastical_occupation
bn:00042901n	Haplosporidia
bn:00059379n	Sarcosporidia
bn:00002759n	Alismatidae
bn:00017051n	cellular_slime_mold
bn:00037967n	genus_Dictostylium
bn:00001122n	actinopod
bn:00043595n	Heliozoa
bn:00059365n	Radiolaria
bn:26341528n	Pleurocorallium_secundum
bn:00001091n	Actiniaria
bn:00001126n	anthozoan
bn:00002531n	Alcyonaria
bn:00052654n	Madreporaria
bn:00075232n	superclass
bn:00059685n	ostracoderm
bn:00003858n	Anaspida
bn:00021933n	Conodonta
bn:00024763n	Cyclostomata
bn:00059324n	Ostracodermi
bn:00004240n	animal_order
bn:00036868n	fungus_order
bn:00062810n	plant_order
bn:00064889n	protoctist_order
bn:02272560n	Order_of_the_Reunion
bn:00074938n	suborder
bn:00003307n	Ambystomatidae
bn:00003656n	Amphiumidae
bn:00006239n	Ascaphidae
bn:00013021n	Microhylidae
bn:00013696n	Bufonidae
bn:00018749n	chordate_family
bn:00000615n	Acaridae
bn:00001021n	Acrididae
bn:00001323n	Adelgidae
bn:00002641n	Aleyrodidae
bn:00003979n	Andrenidae
bn:00001115n	Actinomycetaceae
bn:00006746n	Athiorhodaceae
bn:00007721n	Bacillaceae
bn:00007872n	Bacteroidaceae
bn:00018565n	Chlamydiaceae
bn:00000584n	Xenicidae
bn:00000699n	Accipitridae
bn:00001654n	Aepyornidae
bn:00002434n	Alaudidae
bn:00002507n	Alcedinidae
bn:00042859n	hanging_fly
bn:00005356n	arbovirus
bn:00080085n	virus
bn:00050086n	Lassa_virus
bn:00005546n	arenavirus
bn:00048612n	Junin_virus
bn:00052448n	lymphocytic_choriomeningitis_virus
bn:00052579n	Machupo_virus
bn:00067594n	Rhabdoviridae
bn:00077481n	Togaviridae
bn:00035134n	flavivirus
bn:00003622n	amphibian_genus
bn:00006083n	arthropod_genus
bn:00007857n	bacteria_genus
bn:00010629n	bird_genus
bn:00018750n	chordate_genus
bn:00074895n	subgenus
bn:00028865n	drove
bn:00020078n	clutch
bn:00007654n	baby_boom
bn:00037630n	generation_X
bn:00063790n	posterity
bn:00059480n	organization
bn:00074224n	constitution
bn:00061450n	people
bn:00056443n	music
bn:00008280n	band
bn:00008283n	dance_band
bn:00018782n	chorus
bn:00029058n	duet
bn:00030961n	ensemble
bn:00046975n	musician
bn:00001371n	adhocracy
bn:00001754n	affiliate
bn:00002740n	alliance
bn:00006539n	association
bn:00006549n	Orange_Order
bn:03164258n	closure_(topology)
bn:13598833n	group
bn:00018077n	Chelicerata
bn:00061876n	spermatophyte
bn:00004093n	angiocarp
bn:00026948n	dicot
bn:00030773n	monocot
bn:00035378n	flower
bn:00052641n	madderwort
bn:00011422n	flower
bn:00008225n	balsam
bn:00042337n	gymnosperm
bn:00070270n	seedling
bn:00026882n	diapsid
bn:27267609n	Amniota
bn:00027226n	dinosaur
bn:00035527n	pterosaur
bn:00045763n	ichthyosaur
bn:00058162n	nothosaur
bn:00063011n	plesiosaur
bn:00023899n	crocodilian_reptile
bn:00059150n	snake
bn:00069364n	saurian
bn:00073306n	tuatara
bn:00045461n	hymenopterous_insect
bn:00046870n	insect
bn:00004902n	Apidae
bn:00002773n	Nomia_melanderi
bn:00003978n	andrena
bn:00004906n	honeybee
bn:00013854n	bumblebee
bn:00016201n	carpenter_bee
bn:00004458n	ant
bn:00017533n	chalcid_fly
bn:00033152n	Mutillidae
bn:00045759n	ichneumon_fly
bn:00069418n	sawfly
bn:14578827n	salamander
bn:00004025n	arboreal_salamander
bn:00019808n	climbing_salamander
bn:00024184n	Cryptobranchidae
bn:00026919n	Dicamptodontidae
bn:00000598n	Acanthopterygii
bn:00000616n	Acarina
bn:00001116n	Actinomycetales
bn:00001120n	Actinomyxidia
bn:24768768n	Division_(biology)
bn:27268509n	Cladophora
bn:00017900n	Charophyceae
bn:00018612n	Chlorophyceae
bn:00018619n	green_algae
bn:00019560n	Ulvophyceae
bn:00027921n	division_Archaebacteria
bn:00007722n	Bacillariophyceae
bn:00018954n	Chrysophyceae
bn:00019561n	Xanthophyceae
bn:00040957n	golden_algae
bn:00043944n	Heterotrichales
bn:00019490n	class_Cyanobacteria
bn:00742464n	Charassognathus
bn:01389834n	Luangwa_(cynodont)
bn:01556841n	Lumkuia
bn:01867762n	Chiniquodon
bn:02333702n	Thrinaxodon
bn:00024815n	cynodont
bn:00032083n	Exaeretodon
bn:00075690n	synapsid
bn:00038314n	Ischigualastia
bn:00907229n	Dolichuranus
bn:00907336n	Eodicynodon
bn:00926704n	Endothiodon
bn:00926706n	Wadiasaurus
bn:00026977n	dicynodont
bn:00040759n	glume
bn:01986176n	Natural_material
bn:03047093n	Ambe
bn:03339556n	Basement_(geology)
bn:00007371n	automaton
bn:03435599n	Being_in_itself
bn:21606107n	man-eater
bn:00009676n	being
bn:00022157n	subject
bn:00027686n	inclination
bn:00064752n	property
bn:00059034n	ontology
bn:00000488n	abstraction
bn:00007067n	property
bn:00016734n	category
bn:00021552n	conceptualization
bn:00027912n	part
bn:00045800n	idea
bn:00005193n	aptitude
bn:00047140n	representation
bn:00055278n	misconception
bn:00009717n	impression
bn:00013944n	burden
bn:00020447n	cogitation
bn:00034385n	figment
bn:00037670n	generalization
bn:00060765n	part
bn:00000249n	abdomen
bn:00001470n	adnexa
bn:00003294n	ambulacrum
bn:00003673n	ampulla
bn:00022827n	corpus
bn:00058042n	North_Atlantic
bn:00058057n	North_Pacific
bn:00072972n	South_Atlantic
bn:00072986n	South_Pacific
bn:00000901n	acicula
bn:06587107n	unit
bn:00914927n	Cell_type
bn:02936056n	Cellular_component
bn:00000621n	akaryocyte
bn:00005417n	archespore
bn:00006088n	arthrospore
bn:00006089n	arthrospore
bn:00010124n	beta_cell
bn:00017036n	cell_membrane
bn:00017037n	nucleus
bn:00017038n	organelle
bn:00024905n	cytoplasm
bn:00030818n	energid
bn:03369752n	Biogenic_substance
bn:00081220n	wildlife
