bn:00015267n	dog
bn:03696781n	Synonym_(taxonomy)
bn:03266663n	Law_of_agency
bn:00001671n	Aerobacter_aerogenes
bn:00014952n	Calymmatobacterium_granulomatis
bn:00036229n	Francisella_tularensis
bn:00042377n	H._pylori
bn:00064985n	Pseudomonas_pyocanea
bn:00070632n	Serratia_marcescens
bn:00003308n	ambystomid
bn:00068912n	salamander
bn:16819476n	Necturus_lewisi
bn:00003303n	spotted_salamander
bn:00003305n	mole_salamander
bn:00003306n	tiger_salamander
bn:00080651n	waterdog
bn:00045898n	iguanid
bn:00055762n	monotype
bn:01386902n	Anolis_garmani
bn:01386912n	Anolis_distichus
bn:00003280n	marine_iguana
bn:00008863n	basilisk
bn:00014857n	zebra-tailed_lizard
bn:00018978n	chuckwalla
bn:00020613n	collared_lizard
bn:00021106n	common_iguana
bn:00023755n	cress
bn:00056967n	native
bn:00005271n	Arabidopsis_lyrata
bn:00005276n	tower_mustard
bn:00010775n	bittercress
bn:00020259n	scurvy_grass
bn:00021096n	common_garden_cress
bn:00068061n	rock_cress
bn:03190527n	Obligate_aerobe
bn:00018895n	chromosome
bn:00058467n	obligate_anaerobe
bn:03426669n	Facultative_anaerobic_organism
bn:00010543n	biology
bn:00032060n	evolution
bn:02881928n	Evolution_(term)
bn:01470064n	Anglo-Français_and_Français_(hound)
bn:02993069n	ancient_dog_breeds
bn:15990548n	New_Guinea_singing_dog
bn:17146417n	dog_fighting_breed
bn:00001747n	affenpinscher
bn:00002284n	Airedale
bn:00011410n	bloodstock
bn:00061244n	pedigree
bn:00079600n	varietal
bn:00164211n	landrace
bn:00613762n	Horse_breed
bn:00807074n	Fancy_pigeon
bn:00018341n	Chihuahua
bn:00048015n	Japanese_spaniel
bn:00053052n	Maltese_dog
bn:00061280n	Pekinese
bn:00071069n	Shih-Tzu
bn:00077805n	toy_spaniel
bn:00063596n	population
bn:02768806n	classification_system
bn:01474436n	Talbot_(dog)
bn:17438195n	Tugou
bn:00020087n	Clydesdale_terrier
bn:00020655n	collie
bn:00022445n	coonhound
bn:00124019n	Companion_dog
bn:15460410n	Dog_crossbreed
bn:00045255n	hunting_dog
bn:00201170n	Northern_Inuit_Dog
bn:02327971n	Indian_pariah_dog
bn:03617487n	Soviet_space_dog
bn:17279058n	street_dog_in_Moscow
bn:03699393n	Sputnik_2
bn:00005034n	process
bn:00027985n	dock
bn:00001054n	acromion
bn:00001063n	acrosome
bn:00001197n	aculea
bn:00002386n	ala
bn:00003177n	alveolar_arch
bn:00003182n	alveolar_ridge
bn:06751000n	cut_of_beef
bn:00027574n	dish
bn:03877095n	recipe
bn:00053080n	mammal_family
bn:00016142n	Carnivora
bn:00015264n	Canis
bn:02031061n	Canid_hybrid
bn:22269599n	Canis_lupus
bn:00003011n	Alopex
bn:00024408n	Cuon
bn:00029187n	Dusicyon
bn:00038544n	Lycaeon
bn:00002175n	Ailuropodidae
bn:00004683n	Antilocapridae
bn:00004920n	Aplodontiidae
bn:00008034n	Balaenidae
bn:00008040n	Balaenopteridae
bn:00008926n	Bassariscidae
bn:00040778n	glutton
bn:00059723n	otter
bn:01313549n	Spotted_linsang
bn:01763606n	Ysengrinia
bn:00010555n	biome
bn:00011513n	blue_fox
bn:00067584n	Reynard
bn:15865580n	Member_of_parliament
bn:00010899n	black_fox
bn:00071638n	silver_fox
bn:01957744n	Cross_fox
bn:00010550n	biota
bn:17345320n	state
bn:00214281n	fauna_of_Angola
bn:00214704n	Biodiversity_of_Ghana
bn:00251613n	Microfauna
bn:00274728n	Fauna_of_Europe
bn:00318907n	Fauna_of_the_Andes
bn:00324156n	Wildlife_of_South_Africa
bn:00035324n	plant
bn:00915246n	aeroplankton
bn:01216797n	Microbiota
bn:03660311n	Soil_life
bn:06999626n	lichenoflora
bn:06999628n	algoflora
bn:03833174n	endemism
bn:14323173n	Cerdocyon
bn:00038881n	Nyctereutes
bn:14600514n	street_dog_in_Thailand
bn:16069735n	street_dog_in_Chennai
bn:16510337n	street_dog_in_Bucharest
bn:08341933n	Perro_Paco
bn:08359498n	Boneco
bn:00023429n	coydog
bn:16355118n	Urban_coyote
bn:00836758n	Elmendorf_Beast
bn:02183192n	Bernard's_wolf
bn:02184765n	British_Columbia_wolf
bn:02196846n	Baffin_Island_wolf
bn:02873297n	OR-7
bn:03786700n	Trapping_pit
bn:00023949n	hybrid
bn:00081952n	young_mammal
bn:00019394n	cladistics
bn:01763580n	Consumer_(food_chain)
bn:27268776n	diet_(nutrition)
bn:00046874n	insectivore
bn:00526607n	Ophiophagy
bn:00980211n	entomophagy
bn:02436727n	hematophagy
bn:04767587n	necrophagia
bn:00043796n	herbivore
bn:00058952n	omnivore
bn:03517226n	Bacterivore
bn:21492829n	Microbivory
bn:00015852n	carbohydrate_loading
bn:00022516n	coprophagy
bn:00163532n	Chinese_pangolin
bn:01313607n	Indian_pangolin
bn:01864212n	Sunda_pangolin
bn:01868806n	ground_pangolin
bn:02454890n	Eomanis
bn:03458095n	Necromanis
bn:02502189n	aquatic_animal
bn:00011456n	cetacean
bn:00062520n	pinniped_mammal
bn:00069962n	sea_cow
bn:03432367n	marine_mammal
bn:00035253n	flipper
bn:00016145n	carnivorous_bat
bn:00036690n	fruit_bat
bn:00081336n	wing
bn:00073813n	stag
bn:00009799n	belly
bn:00018207n	thorax
bn:00023011n	rib
bn:00024979n	digit
bn:00061231n	vertebrate_foot
bn:00057390n	neural_tube
bn:00058178n	notochord
bn:01748993n	Insect_morphology
bn:03361881n	Bird_anatomy
bn:05739903n	anatomy_of_amphibians
bn:05757858n	vertebrate_anatomy
bn:00005102n	clinical_anatomy
bn:00021300n	comparative_anatomy
bn:00026704n	developmental_anatomy
bn:00036828n	functional_anatomy
bn:00041869n	gross_anatomy
bn:00054784n	microscopic_anatomy
bn:00055923n	morphology
bn:27269671n	medicine
bn:00319261n	Body_shape
bn:02080826n	Robustness_(morphology)
bn:03627845n	Plant_morphology
bn:08321094n	floral_morphology
bn:08409516n	Glossary_of_leaf_morphology
bn:14658202n	pathological_morphology
bn:00034016n	female
bn:00029067n	dug
bn:00053078n	mammary_gland
bn:00025077n	dam
bn:00034470n	filly
bn:00043686n	hen
bn:01536775n	Drakaina_(mythology)
bn:10501262n	ewe
bn:13558862n	lioness
bn:00025089n	Damaraland_mole_rat
bn:00056746n	naked_mole_rat
bn:00053563n	marsupial
bn:01673856n	Deltatheridium
bn:03366640n	Borhyaena
bn:00029916n	monotreme
bn:00078711n	tusk
bn:00042526n	hair
bn:00020726n	color
bn:00065538n	quality
bn:00035167n	wool
bn:00036883n	fur
bn:03364262n	Equine_coat_color
bn:03403132n	Cat_coat_genetics
bn:03636902n	piebald
bn:14393875n	Dog_coat
bn:00009364n	beard
bn:00011761n	body_hair
bn:00013390n	eyebrow
bn:00014101n	pubic_hair
bn:00019101n	eyelash
bn:00020483n	hairdo
bn:00034417n	filament
bn:00046753n	ingrown_hair
bn:00003834n	anapsid
bn:02970504n	Sauropsida
bn:03283875n	Protoclepsydrops
bn:00040818n	gnathostome
bn:00003572n	amnion
bn:00018766n	chorion
bn:00076708n	tetrapod
bn:00011272n	caecilian
bn:00016835n	urodele
bn:00045467n	Hynerpeton_bassetti
bn:00045767n	Ichyostega
bn:00049597n	labyrinthodont
bn:00050137n	lateral_line
bn:00002049n	jawless_vertebrate
bn:00034816n	fish
bn:00062736n	placoderm
bn:00004941n	apodiform_bird
bn:00005216n	aquatic_bird
bn:00005392n	archaeopteryx
bn:00005393n	archaeornis
bn:00010638n	bird_of_passage
bn:00010639n	bird_of_prey
bn:00002255n	air_sac
bn:00009305n	beak
bn:00010606n	bird
bn:00024049n	hindquarters
bn:00033865n	feather
bn:01444952n	fetus
bn:00000376n	abortus
bn:00007647n	baby
bn:00055776n	monster
bn:03320318n	lithopedion
bn:03739703n	Nasciturus_pro_iam_nato_habetur,_quotiens_de_commodis_eius_agitur
bn:00029037n	ductus_arteriosus
bn:00035679n	foot
bn:00005033n	extremity
bn:00005702n	arm
bn:00024138n	crus
bn:00024277n	cubitus
bn:00035801n	forearm
bn:00035844n	forelimb
bn:00032500n	extremity
bn:00074812n	stump
bn:00018072n	claw
bn:00018076n	chelicera
bn:00033630n	fang
bn:00034509n	fin
bn:00056146n	mouthpart
bn:03119967n	Human_leg
bn:00042769n	hand
bn:00003879n	structure
bn:00003179n	alveolar_bed
bn:00004937n	apodeme
bn:00006582n	aster
bn:00008129n	ball
bn:00011083n	blade
bn:00011734n	cavity
bn:00019619n	claw
bn:00043920n	heterodactyl_foot
bn:00051710n	lobate_foot
bn:00080780n	webbed_foot
bn:00082109n	zygodactyl_foot
bn:00075989n	talon
bn:00024643n	skin
bn:02322243n	Horse_management
bn:00020027n	cloven_foot
bn:00044820n	horse's_foot
bn:03341678n	Horse_hoof
bn:00044686n	hoof
bn:00077467n	toe
bn:00019144n	cinnamon_bear
bn:02942802n	Winnipeg_(bear)
bn:16359201n	Terrible_Ted_(bear)
bn:17521782n	Bruno_(bear_actor)
bn:00054274n	sloth_bear
bn:24965748n	Bobo
bn:00024245n	cub
bn:00002428n	Alaskan_brown_bear
bn:00041833n	grizzly
bn:00075754n	Syrian_bear
bn:00806063n	Cantabrian_brown_bear
bn:03345388n	Bear_JJ1
bn:04045732n	Cannelle
bn:00788672n	Flocke
bn:00837305n	Binky_(polar_bear)
bn:00938123n	Wilbär
bn:01301263n	Debby_(polar_bear)
bn:02774787n	Siku_(polar_bear)
bn:03748148n	Inuka
bn:00032903n	Felidae
bn:00000926n	cheetah
bn:00033987n	jaguar
bn:00049156n	lion
bn:00050713n	leopard
bn:00059740n	snow_leopard
bn:00009222n	bobcat
bn:00015118n	Canada_lynx
bn:00015810n	caracal
bn:00021122n	common_lynx
bn:00052462n	spotted_lynx
bn:00014571n	kaffir_cat
bn:00016668n	cougar
bn:00032563n	jaguarundi
bn:00033984n	leopard_cat
bn:00033985n	jungle_cat
bn:00919180n	Caucasian_wildcat
bn:15378421n	Asiatic_wildcat
bn:16078528n	Cretan_wildcat
bn:17055786n	Felis_silvestris_cafra
bn:27268184n	African_wildcat
bn:13834499n	traditional_taxonomy
bn:00578552n	Capreolinae
bn:02230356n	Pantherinae
bn:03194186n	buzzard
bn:00049171n	kingdom
bn:00003352n	American_badger
bn:00005485n	hog_badger
bn:00031882n	Eurasian_badger
bn:00034118n	ferret_badger
bn:00037074n	grison
bn:00034117n	ferret
bn:00228644n	Bai_Yun
bn:00282295n	Xiang_Xiang_(giant_panda)
bn:00381193n	Gao_Gao
bn:00381382n	Mei_Sheng
bn:00652585n	Zhen_Zhen_(panda)
bn:00695915n	Xin_Xin_(giant_panda)
bn:02183082n	Pemba_(panda)
bn:03079844n	Futa_(red_panda)
bn:00021155n	common_raccoon
bn:00023446n	crab-eating_raccoon
bn:00291345n	Bandit_(raccoon)
bn:21308383n	Rebecca_(raccoon)
bn:00005475n	binturong
bn:00008303n	banded_palm_civet
bn:00024202n	Cryptoprocta
bn:00033613n	fanaloka
bn:00050014n	large_civet
bn:00060308n	palm_cat
bn:03305530n	Abyssinian_genet
bn:00072131n	slender-tailed_meerkat
bn:00075406n	suricate
bn:03199714n	Timon_and_Pumbaa
bn:17157217n	Compare_the_Meerkat
bn:00043881n	ichneumon
bn:00043882n	Indian_mongoose
bn:00419233n	Collared_mongoose
bn:00032439n	external_body_part
bn:03088203n	Mereology
bn:00045155n	human_head
bn:02375276n	cephalon_(arthropod_head)
bn:03940221n	insect_head
bn:04000163n	Scolex
bn:24576365n	Ure_mummified_cat's_head
bn:00005984n	basilar_artery
bn:00012679n	brain
bn:00029372n	ear
bn:00032600n	face
bn:00056555n	muzzle
bn:00072011n	skull
bn:00006078n	arthromere
bn:00012950n	breast
bn:00012952n	breast
bn:00017395n	neck
bn:00001386n	adipose_tissue
bn:00015493n	capillary_bed
bn:00016317n	cartilage
bn:00017529n	chalaza
bn:00021916n	connective_tissue
bn:00022803n	coronet
bn:00008286n	isthmus
bn:00012010n	marrow
bn:00019056n	scar
bn:00031254n	epithelium
bn:00031371n	erectile_tissue
bn:00021248n	community
bn:26690845n	marine_benthos
bn:26690846n	epipsammon
bn:26690847n	endopsammon
bn:26690849n	epixylon
bn:26690884n	merobenthos
bn:26691053n	epipelon
bn:00654946n	Domestic_short-haired_cat
bn:00049273n	kitty
bn:00065800n	race
bn:00012995n	reproduction
bn:15776411n	Asian
bn:00061934n	phenotype
bn:01001816n	Tama_(cat)
bn:05738937n	baby_animal
bn:00007648n	baby
bn:00013828n	bullock
bn:00014717n	calf
bn:00014720n	calf
bn:00033844n	fawn
bn:00627046n	All_Ball
bn:00063021n	pleurodont
bn:00769774n	Hypsodont
bn:02613022n	diphyodont
bn:03369376n	heterodont
bn:04695829n	proteroglyph
bn:00050542n	leg
bn:00015307n	cannon
bn:00064142n	prehensor
bn:01107424n	subphylum
bn:00003643n	lancelet
bn:03680075n	Cathaymyrus
bn:00075290n	superphylum
bn:00005042n	appendicularia
bn:00006267n	ascidian
bn:00028110n	doliolum
bn:00050049n	larvacean
bn:00068984n	salp
bn:06587107n	unit
bn:00914927n	Cell_type
bn:02936056n	Cellular_component
bn:00000621n	akaryocyte
bn:00005417n	archespore
bn:00006088n	arthrospore
bn:00006089n	arthrospore
bn:00010124n	beta_cell
bn:00011142n	blastema
bn:00017036n	cell_membrane
bn:00017037n	nucleus
bn:00017038n	organelle
bn:00024905n	cytoplasm
bn:00030818n	energid
bn:00079452n	vacuole
bn:00685618n	embryogenesis
bn:00011146n	blastocoel
bn:00078400n	trophoblast
bn:05212801n	Nondum_Conceptus
bn:15076082n	germ
bn:00005408n	archenteron
bn:00015144n	duct
bn:00034161n	fetal_membrane
bn:00036871n	funiculus
bn:00078916n	umbilical_vein
bn:00002746n	alimentary_canal
bn:00005225n	cerebral_aqueduct
bn:00010375n	common_bile_duct
bn:00013311n	bronchiole
bn:00015147n	canal_of_Schlemm
bn:00015149n	canaliculus
bn:00079109n	whole
bn:00936440n	Cultural_artifact
bn:16490764n	archaeological_find
bn:00368157n	Conflation
bn:01187943n	Culture
bn:00002008n	sum
bn:00006488n	assembly
bn:00021806n	congener
bn:00047731n	item
bn:00056993n	natural_object
bn:05506750n	transportable_goods
bn:00016047n	cargo
bn:01732044n	Bed_material_load
bn:00688958n	Dangerous_goods
bn:00981349n	Break_bulk_cargo
bn:15979186n	mail_item
bn:05374057n	bale
bn:00051676n	warhead
bn:17528560n	Class_(knowledge_representation)
bn:00012758n	trade_name
bn:00035918n	part_of_speech
bn:00077750n	tournament
bn:00142051n	National_Register_of_Historic_Places_property_type
bn:00650853n	Airspace_class
bn:05067876n	Physical_object
bn:00003687n	amulet
bn:00007999n	bait
bn:00015922n	card_index
bn:00044635n	honeycomb
bn:00162399n	Widget_(economics)
bn:00010866n	black_body
bn:00024215n	crystal_ball
bn:00036026n	fossil
bn:00042931n	hard_copy
bn:00052712n	magnet
bn:00026969n	lexical_entry
bn:00045800n	idea
bn:00050906n	vocabulary
bn:00081546n	word
bn:00005396n	archaism
bn:00020590n	collaborator
bn:00027402n	obscenity
bn:00031851n	euphemism
bn:00431718n	Jew_(word)
bn:00593556n	Legal_term
bn:00000488n	abstraction
bn:00007067n	property
bn:00016734n	category
bn:00021552n	conceptualization
bn:00027912n	part
bn:00032657n	fact
bn:00036862n	fungible
bn:00054416n	merchandise
bn:05144238n	real_good
bn:02471984n	Right_to_property
bn:00006125n	clothing
bn:00022097n	durables
bn:00033732n	fashion
bn:00035671n	grocery
bn:01607774n	Household_chemicals
bn:03144723n	Drain_cleaner
bn:00042401n	haberdashery
bn:00045037n	white_goods
bn:00001296n	summation
bn:01731490n	Mode_of_transport
bn:01939592n	Export_of_cryptography
bn:24155248n	Exports_of_weapons_by_France
bn:00013731n	building_material
bn:00004731n	antique
bn:00067033n	relic
bn:00068178n	Roman_building
bn:00074161n	stele
bn:00012916n	breakable
bn:00049321n	knickknack
bn:00058176n	notion
bn:00080482n	ware
bn:00006126n	article_of_commerce
bn:00007798n	backing
bn:00011121n	blanket
bn:00023290n	course
bn:00024565n	cushion
bn:00047110n	interlayer
bn:00051091n	lift
bn:00004798n	anvil
bn:00008472n	cake
bn:00011324n	ingot
bn:00013153n	briquette
bn:00018637n	chock
bn:00018737n	chopping_block
bn:00011954n	bombycid
bn:00016739n	caterpillar
bn:00050048n	larva
bn:16993284n	sericulture
bn:26691337n	small_livestock
bn:17294830n	cattle
bn:24226563n	Zero-grazing
bn:17145805n	Balai_Penelitian_Ternak
bn:14519283n	productive_animal
bn:00009391n	beast_of_burden
bn:00028554n	draft_animal
bn:00081602n	working_dog
bn:01496397n	Working_rat
bn:16737563n	Packhorse
bn:01309617n	assistance_dog
bn:03248394n	Guide_horse
bn:16677724n	helper_monkey
bn:21529568n	Guard_goose
bn:01945437n	Cyprinus_rubrofuscus
bn:00024857n	domestic_carp
bn:04080402n	Utsurimono
bn:04088855n	Asagi
bn:01548258n	Kōhaku_(fish)
bn:15699593n	Showa_(fish)
bn:22272042n	Hanako_(fish)
bn:01521848n	Military_animal
bn:01717482n	Panthera_hybrid
bn:00060436n	tiger
bn:00061705n	Persian_cat
bn:00071399n	Siamese_cat
bn:14329978n	Eastern_coyote
bn:14449749n	Najas_marina_subsp._intermedia
bn:14486628n	Balkan_lynx
bn:17246913n	Eurasian_wolf
bn:00042729n	village
bn:00017634n	Chancellorsville
bn:00018022n	Cheddar
bn:00030022n	El_Alamein
bn:00047954n	Jamestown
bn:00048129n	Jericho
bn:00070028n	Sealyham
bn:01542239n	Bo_(dog)
bn:02156077n	Barney_(dog)
bn:03258107n	Buddy_(dog)
bn:15665736n	Sunny_(dog)
bn:21792343n	Marlon_Bundo
bn:00407538n	Oscar_(therapy_cat)
bn:00051395n	linguistics
bn:02274263n	Naming_convention
bn:02702270n	Documentation_science
bn:02703419n	Knowledge_organization_system
bn:00053492n	markup_language
bn:00077641n	toponymy
bn:00185048n	Computer_network_naming_scheme
bn:00186409n	Phylogenetic_nomenclature
bn:00972958n	Critical_vocabulary
bn:00003766n	anagram
bn:00003823n	anaphor
bn:00004785n	antonym
bn:00007737n	back-formation
bn:00016720n	guide_word
bn:00017767n	charade
bn:00000492n	abstraction
bn:00003603n	measure
bn:00007068n	attribute
bn:00021222n	communication
bn:00059702n	otherworld
bn:00065023n	psychological_feature
bn:00066995n	relation
bn:07018062n	group_of_interconnected_lakes
bn:00004553n	anthology
bn:15125301n	System
bn:21705956n	Culture_of_North_America
bn:00049722n	Lake_Michigan
